title,icon,time,compatible,evaluate,discount,original_price,now_price,detailLink
Dead by Daylight,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/381210/capsule_sm_120.jpg?t=1722971267,"Jun 14, 2016","[""win""]",Positive,40,19.99,7.99,https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_2300_150_1
Call of Duty®: Black Ops III,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/311210/capsule_sm_120.jpg?t=1646763462,"Nov 5, 2015","[""win"", ""mac""]",Positive,33,59.99,19.79,https://store.steampowered.com/app/311210/Call_of_Duty_Black_Ops_III/?snr=1_7_7_2300_150_1
Half-Life: Alyx,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/546560/capsule_sm_120.jpg?t=1673391297,"Mar 23, 2020","[""win""]",Positive,34,59.99,20.39,https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_2300_150_1
Call of Duty®: Black Ops II,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/202970/capsule_sm_120.jpg?t=1654830020,"Nov 12, 2012","[""win""]",Positive,33,59.99,19.79,https://store.steampowered.com/app/202970/Call_of_Duty_Black_Ops_II/?snr=1_7_7_2300_150_1
Tony Hawk's™ Pro Skater™ 1 + 2,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2395210/capsule_sm_120.jpg?t=1696374771,"Oct 3, 2023","[""win""]",Positive,40,39.99,15.99,https://store.steampowered.com/app/2395210/Tony_Hawks_Pro_Skater_1__2/?snr=1_7_7_2300_150_1
ICARUS,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1149460/capsule_sm_120.jpg?t=1718766149,"Dec 3, 2021","[""win""]",Positive,50,34.99,17.49,https://store.steampowered.com/app/1149460/ICARUS/?snr=1_7_7_2300_150_1
嗜血印 Bloody Spell,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/992300/capsule_sm_120.jpg?t=1722993130,"Jan 26, 2022","[""win""]",Positive,18,24.99,4.49,https://store.steampowered.com/app/992300/_Bloody_Spell/?snr=1_7_7_2300_150_1
Battlefield™ 2042,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1517290/capsule_sm_120.jpg?t=1721736024,"Nov 19, 2021","[""win""]",Mixed,15,59.99,8.99,https://store.steampowered.com/app/1517290/Battlefield_2042/?snr=1_7_7_2300_150_1
Call of Duty®: Modern Warfare® III,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2519060/capsule_sm_120.jpg?t=1722897441,"Nov 10, 2023","[""win""]",Positive,55,69.99,38.49,https://store.steampowered.com/app/2519060/Call_of_Duty_Modern_Warfare_III/?snr=1_7_7_2300_150_1
Deep Rock Galactic,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/548430/capsule_sm_120_alt_assets_25.jpg?t=1718884008,"May 13, 2020","[""win""]",Positive,33,29.99,9.89,https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_2300_150_1
Call of Duty®: Black Ops Cold War,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1985810/capsule_sm_120.jpg?t=1686345977,"Mar 8, 2023","[""win""]",Positive,33,59.99,19.79,https://store.steampowered.com/app/1985810/Call_of_Duty_Black_Ops_Cold_War/?snr=1_7_7_2300_150_1
REMNANT II®,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1282100/capsule_sm_120.jpg?t=1717104501,"Jul 25, 2023","[""win""]",Positive,50,49.99,24.99,https://store.steampowered.com/app/1282100/REMNANT_II/?snr=1_7_7_2300_150_1
STAR WARS Jedi: Survivor™,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1774580/capsule_sm_120.jpg?t=1701206599,"Apr 27, 2023","[""win""]",Mixed,45,69.99,31.49,https://store.steampowered.com/app/1774580/STAR_WARS_Jedi_Survivor/?snr=1_7_7_2300_150_1
ONE PIECE: PIRATE WARRIORS 4,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1089090/capsule_sm_120.jpg?t=1718095269,"Mar 26, 2020","[""win""]",Positive,25,39.99,9.99,https://store.steampowered.com/app/1089090/ONE_PIECE_PIRATE_WARRIORS_4/?snr=1_7_7_2300_150_1
